rank,callable,nativr_available,packages,source_packages,occurrences,package_reach_percent,download_weighted_reach_percent
1,c,true,74,rlang|cli|vctrs|lifecycle|Rcpp|ggplot2|R6|glue|withr|magrittr|tibble|cpp11|fs|pillar|dplyr|scales|jsonlite|S7|gtable|isoband|bslib|utf8|generics|rmarkdown|rstan|farver|sass|curl|processx|StanHeaders|ps|labeling|purrr|xfun|digest|stringr|tidyselect|tidyr|stringi|mime|htmltools|fastmap|knitr|crayon|yaml|evaluate|backports|tinytex|highr|testthat|checkmate|abind|openssl|matrixStats|numDeriv|textshaping|systemfonts|loo|data.table|shiny|ragg|posterior|httr|distributional|xml2|rstudioapi|sys|diffobj|waldo|later|readxl|brio|zoo|bit64,2337,76.3,79.2
2,list,true,54,rlang|cli|vctrs|lifecycle|Rcpp|ggplot2|R6|glue|withr|tibble|pillar|dplyr|jsonlite|S7|gtable|bslib|rmarkdown|otel|rstan|sass|curl|processx|StanHeaders|ps|purrr|xfun|digest|stringr|tidyr|stringi|htmltools|knitr|yaml|evaluate|backports|testthat|checkmate|abind|htmlwidgets|systemfonts|loo|data.table|shiny|posterior|httr|distributional|xml2|rstudioapi|diffobj|waldo|httpuv|promises|zoo|bit64,958,55.7,58.8
3,library,true,35,vctrs|lifecycle|ggplot2|glue|dplyr|jsonlite|gtable|isoband|bslib|rmarkdown|viridisLite|rstan|sass|curl|purrr|xfun|digest|tidyselect|mime|knitr|gridExtra|evaluate|RcppParallel|pkgload|memoise|highr|checkmate|htmlwidgets|loo|shiny|distributional|xml2|promises|zoo|bit64,170,36.1,37.0
4,print,true,34,rlang|cli|lifecycle|ggplot2|withr|RcppEigen|tibble|bslib|utf8|rstan|curl|purrr|xfun|stringi|htmltools|evaluate|memoise|testthat|checkmate|openssl|htmlwidgets|matrixStats|loo|data.table|shiny|posterior|httr|rstudioapi|commonmark|sys|later|promises|zoo|bit64,288,35.1,34.7
5,cat,true,32,rlang|cli|vctrs|ggplot2|R6|jsonlite|utf8|rmarkdown|rstan|curl|purrr|xfun|digest|stringr|stringi|htmltools|knitr|crayon|yaml|evaluate|highr|testthat|openssl|data.table|shiny|httr|rstudioapi|sys|diffobj|httpuv|later|promises,187,33.0,33.6
6,runif,true,26,rlang|cli|vctrs|ggplot2|withr|tibble|pillar|dplyr|scales|gtable|bslib|purrr|xfun|tidyr|stringi|memoise|testthat|checkmate|matrixStats|data.table|shiny|posterior|httpuv|promises|zoo|bit64,99,26.8,29.3
7,data.frame,true,26,vctrs|ggplot2|glue|withr|RcppEigen|magrittr|tibble|pillar|dplyr|jsonlite|viridisLite|purrr|xfun|digest|stringi|knitr|yaml|testthat|checkmate|htmlwidgets|loo|data.table|shiny|posterior|zoo|bit64,162,26.8,29.2
8,str,true,29,rlang|vctrs|ggplot2|tibble|jsonlite|rmarkdown|rstan|curl|purrr|xfun|tidyr|mime|fastmap|knitr|evaluate|backports|testthat|openssl|matrixStats|loo|data.table|shiny|posterior|xml2|diffobj|httpuv|promises|zoo|bit64,167,29.9,28.9
9,matrix,true,26,rlang|ggplot2|magrittr|tibble|pillar|jsonlite|gtable|isoband|utf8|rstan|StanHeaders|xfun|digest|tidyr|knitr|base64enc|backports|testthat|checkmate|abind|matrixStats|data.table|posterior|distributional|diffobj|zoo,105,26.8,28.2
10,rnorm,true,25,rlang|ggplot2|R6|RcppEigen|magrittr|tibble|dplyr|jsonlite|bslib|viridisLite|rstan|purrr|xfun|tidyr|knitr|gridExtra|checkmate|matrixStats|numDeriv|loo|data.table|shiny|posterior|distributional|zoo,203,25.8,27.9
11,tempfile,true,26,rlang|ggplot2|withr|cpp11|dplyr|jsonlite|utf8|rmarkdown|sass|curl|ps|xfun|htmltools|yaml|testthat|openssl|data.table|shiny|ragg|httr|xml2|rstudioapi|sys|diffobj|brio|bit64,69,26.8,26.7
12,paste,true,22,rlang|cli|vctrs|ggplot2|magrittr|pillar|dplyr|bslib|rstan|curl|purrr|xfun|digest|stringi|htmltools|knitr|gridExtra|crayon|data.table|shiny|zoo|bit64,136,22.7,26.2
13,rep,true,24,rlang|vctrs|ggplot2|pillar|dplyr|scales|gtable|rstan|curl|purrr|xfun|digest|tidyr|stringi|knitr|checkmate|matrixStats|loo|data.table|shiny|posterior|distributional|zoo|bit64,156,24.7,25.8
14,head,true,21,rlang|vctrs|ggplot2|glue|withr|magrittr|tibble|fs|dplyr|S7|rstan|xfun|knitr|gridExtra|loo|data.table|shiny|posterior|diffobj|promises|zoo,69,21.6,25.1
15,names,true,22,rlang|cli|vctrs|ggplot2|pillar|dplyr|jsonlite|isoband|rstan|purrr|pkgbuild|tidyselect|knitr|crayon|testthat|checkmate|abind|matrixStats|data.table|shiny|readxl|bit64,82,22.7,25.0
16,try,true,20,rlang|vctrs|ggplot2|withr|RcppEigen|tibble|fs|dplyr|S7|gtable|StanHeaders|purrr|tidyselect|tidyr|yaml|testthat|textshaping|data.table|shiny|brio,143,20.6,24.6
17,paste0,true,20,cli|vctrs|ggplot2|magrittr|dplyr|scales|jsonlite|bslib|sass|curl|purrr|xfun|digest|stringr|htmltools|testthat|data.table|shiny|diffobj|httpuv,62,20.6,23.3
18,sample,true,20,rlang|vctrs|ggplot2|withr|magrittr|dplyr|bslib|purrr|xfun|digest|stringi|testthat|textshaping|systemfonts|loo|data.table|shiny|posterior|zoo|bit64,164,20.6,22.0
19,length,true,22,rlang|ggplot2|dplyr|S7|isoband|curl|StanHeaders|purrr|xfun|stringr|testthat|matrixStats|numDeriv|loo|data.table|shiny|posterior|httr|rstudioapi|diffobj|zoo|bit64,89,22.7,21.5
20,file.path,true,20,rlang|withr|cpp11|dplyr|rstan|curl|xfun|digest|stringr|knitr|backports|tinytex|checkmate|data.table|shiny|rprojroot|rstudioapi|diffobj|readxl|brio,48,20.6,20.2
21,lapply,true,17,rlang|cli|vctrs|ggplot2|jsonlite|S7|bslib|rstan|tidyr|stringi|gridExtra|abind|loo|data.table|shiny|readxl|zoo,55,17.5,19.7
22,plot,true,20,ggplot2|withr|scales|gtable|rstan|labeling|xfun|htmltools|knitr|evaluate|testthat|matrixStats|systemfonts|loo|data.table|shiny|ragg|posterior|httr|zoo,179,20.6,19.1
23,seq,true,16,rlang|vctrs|ggplot2|magrittr|tibble|dplyr|scales|xfun|digest|gridExtra|matrixStats|data.table|posterior|distributional|zoo|bit64,115,16.5,18.7
24,factor,true,15,rlang|vctrs|ggplot2|pillar|dplyr|scales|isoband|stringr|tidyr|stringi|backports|testthat|checkmate|data.table|posterior,149,15.5,18.1
25,unlink,true,17,ggplot2|withr|cpp11|dplyr|jsonlite|rstan|curl|ps|xfun|htmltools|knitr|testthat|openssl|data.table|diffobj|brio|bit64,45,17.5,18.0
26,nrow,true,16,vctrs|ggplot2|RcppEigen|pillar|dplyr|jsonlite|isoband|curl|purrr|matrixStats|textshaping|systemfonts|data.table|shiny|zoo|bit64,52,16.5,17.6
27,system.file,true,17,ggplot2|fs|bslib|rstan|sass|curl|StanHeaders|xfun|desc|knitr|base64enc|openssl|systemfonts|shiny|httr|xml2|httpuv,51,17.5,17.1
28,character,true,14,rlang|cli|vctrs|pillar|ps|purrr|xfun|stringr|stringi|crayon|backports|testthat|data.table|shiny,22,14.4,16.7
29,require,true,15,vctrs|ggplot2|glue|cpp11|scales|bslib|rstan|curl|knitr|base64enc|data.table|posterior|promises|zoo|bit64,49,15.5,16.7
30,as.character,true,15,rlang|ggplot2|pillar|dplyr|utf8|rmarkdown|xfun|digest|htmltools|openssl|data.table|shiny|xml2|diffobj|bit64,43,15.5,16.2
31,sum,true,14,rlang|vctrs|ggplot2|fs|dplyr|S7|StanHeaders|purrr|matrixStats|numDeriv|loo|data.table|zoo|bit64,82,14.4,16.2
32,identical,true,17,rlang|withr|jsonlite|rstan|xfun|digest|base64enc|checkmate|openssl|matrixStats|loo|data.table|shiny|diffobj|httpuv|brio|bit64,155,17.5,16.1
