rank,package,downloads,manual_status,namespace_status,example_blocks,exported_names,excluded_package_owned_calls,features_detected
1,rlang,2771239,analyzed,analyzed,130,447,773,comparisons|logical-operators|subsetting|extraction|conditionals|return|loops|lists|names-attributes|sequences-repetition|pipes|formulas|matrices-arrays|factors|string-helpers|apply-family|statistics|random-numbers|namespaces|ellipsis|replacement|object-systems
2,cli,2353826,analyzed,analyzed,52,240,172,comparisons|logical-operators|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|string-helpers|apply-family|random-numbers|namespaces|ellipsis|replacement
3,vctrs,2334576,analyzed,analyzed,61,200,480,comparisons|logical-operators|subsetting|extraction|conditionals|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|factors|string-helpers|sorting-matching|apply-family|statistics|random-numbers|dates-times|namespaces|ellipsis|replacement|object-systems
4,lifecycle,2278004,analyzed,analyzed,6,16,17,conditionals|lists|namespaces
5,Rcpp,2163312,analyzed,analyzed,18,20,22,comparisons|subsetting|extraction|conditionals|return|loops|lists|namespaces
6,R6,2110617,analyzed,analyzed,2,3,14,comparisons|subsetting|extraction|conditionals|return|loops|lists|sequences-repetition|random-numbers|namespaces|ellipsis|replacement|object-systems
7,ggplot2,2077242,analyzed,analyzed,159,643,2784,comparisons|logical-operators|subsetting|extraction|conditionals|return|loops|lists|names-attributes|sequences-repetition|formulas|data-frames|matrices-arrays|factors|string-helpers|sorting-matching|apply-family|statistics|random-numbers|dates-times|namespaces|ellipsis|replacement
8,glue,2043221,analyzed,analyzed,8,16,37,conditionals|lists|names-attributes|sequences-repetition|pipes|data-frames|string-helpers|dates-times|namespaces
9,RcppEigen,1997949,analyzed,analyzed,2,3,4,subsetting|extraction|sequences-repetition|formulas|data-frames|matrices-arrays|statistics|random-numbers|replacement
10,withr,1987127,analyzed,analyzed,21,79,63,logical-operators|subsetting|extraction|lists|names-attributes|sequences-repetition|data-frames|string-helpers|sorting-matching|random-numbers|dates-times|namespaces|ellipsis
11,magrittr,1974055,analyzed,analyzed,7,42,5,comparisons|logical-operators|subsetting|extraction|conditionals|sequences-repetition|pipes|data-frames|matrices-arrays|string-helpers|statistics|random-numbers|dates-times|replacement
12,tibble,1884092,analyzed,analyzed,15,45,140,logical-operators|subsetting|extraction|lists|names-attributes|sequences-repetition|pipes|formulas|data-frames|matrices-arrays|string-helpers|statistics|random-numbers|namespaces|replacement
